Date time,Latitude,Longitude,Magnitude,Depth (km),Location,Agency,Cluster
2022-07-17 10:13:22.948300+00:00,1.175186276,124.5173569,3.892138637,243,"Minahassa Peninsula, Sulawesi",BMKG,2
2022-07-18 01:41:44.646103+00:00,0.6778428555,124.507309,3.435474136,74,"Minahassa Peninsula, Sulawesi",BMKG,3
2022-07-19 20:25:55.217905+00:00,1.151651263,123.4043655,3.526354029,12,"Minahassa Peninsula, Sulawesi",BMKG,3
2022-07-22 15:14:27.624083+00:00,1.547855377,124.930687,4.282431374,190,"Minahassa Peninsula, Sulawesi",BMKG,2
2022-07-25 12:24:08.613682+00:00,1.323351622,124.1687469,3.251922075,10,"Minahassa Peninsula, Sulawesi",BMKG,3
2022-07-25 12:26:59.474516+00:00,1.214847922,124.191185,3.372813507,10,"Minahassa Peninsula, Sulawesi",BMKG,3
2022-07-28 01:14:27.264309+00:00,0.1609202325,125.8140259,3.674209865,22,Northern Molucca Sea,BMKG,3
2022-07-29 16:29:55.963532+00:00,1.237177134,123.1778412,4.737826088,10,"Minahassa Peninsula, Sulawesi",BMKG,1
2022-08-01 10:47:42.721223+00:00,0.00871903263,123.4150925,3.023435237,147,"Minahassa Peninsula, Sulawesi",BMKG,4
2022-08-05 18:00:58.695344+00:00,0.5652772188,125.6527405,3.761994918,14,Northern Molucca Sea,BMKG,3
2022-08-08 18:59:14.982027+00:00,1.112004757,125.3018265,4.179107961,78,Northern Molucca Sea,BMKG,1
2022-08-09 19:23:13.210813+00:00,0.9024223089,125.8980408,3.114550977,10,Northern Molucca Sea,BMKG,3
2022-08-10 04:01:51.545130+00:00,0.9068614841,125.4313278,4.573096073,20,Northern Molucca Sea,BMKG,1
2022-08-10 18:39:21.256259+00:00,0.3358239532,124.8214798,3.357964661,67,"Minahassa Peninsula, Sulawesi",BMKG,3
2022-08-12 10:05:14.875142+00:00,0.52037853,124.818367,3.723228869,26,"Minahassa Peninsula, Sulawesi",BMKG,3
2022-08-14 16:29:36.952303+00:00,1.532026768,125.0822601,3.664266166,127,Northern Molucca Sea,BMKG,4
2022-08-15 18:45:16.354311+00:00,0.6600157619,124.9646072,3.406432034,80,"Minahassa Peninsula, Sulawesi",BMKG,3
2022-08-17 06:55:37.878722+00:00,0.4922728837,125.2390976,3.448279784,10,Northern Molucca Sea,BMKG,3
2022-08-18 07:46:28.565455+00:00,0.4200257063,124.3729782,5.352561836,166,"Minahassa Peninsula, Sulawesi",BMKG,2
2022-08-20 03:18:37.849750+00:00,0.2030483335,123.6005173,3.080453282,81,"Minahassa Peninsula, Sulawesi",BMKG,3
2022-08-21 00:02:54.253767+00:00,2.318748713,124.4509659,4.199766497,287,Celebes Sea,BMKG,2
2022-08-28 13:49:13.307932+00:00,0.4678654671,125.1799622,3.366044764,10,Northern Molucca Sea,BMKG,3
2022-08-28 17:41:26.039348+00:00,1.55809021,123.1788864,4.523525366,10,"Minahassa Peninsula, Sulawesi",BMKG,1
2022-08-28 18:05:54.460862+00:00,1.652638435,123.2015762,4.183673511,10,"Minahassa Peninsula, Sulawesi",BMKG,1
2022-08-28 21:06:53.571776+00:00,0.3598894179,124.8055191,3.224391477,26,"Minahassa Peninsula, Sulawesi",BMKG,3
2022-09-02 07:27:19.408087+00:00,0.4033095241,124.6054459,3.208971232,121,"Minahassa Peninsula, Sulawesi",BMKG,4
2022-09-03 07:35:17.550242+00:00,1.162071943,123.9490433,3.87563603,260,"Minahassa Peninsula, Sulawesi",BMKG,2
2022-09-03 14:51:56.887728+00:00,0.3963380158,125.4550934,4.252454286,12,Northern Molucca Sea,BMKG,1
2022-09-05 09:30:40.216267+00:00,0.3923651576,124.6687851,2.779018666,15,"Minahassa Peninsula, Sulawesi",BMKG,3
2022-09-05 19:02:27.978186+00:00,0.1186926067,125.6193695,3.045754388,10,Northern Molucca Sea,BMKG,3
2022-09-05 21:41:58.590465+00:00,1.647241473,125.501152,3.159975813,86,Northern Molucca Sea,BMKG,3
2022-09-06 04:39:43.123978+00:00,1.371091723,125.8985214,3.61842347,29,Northern Molucca Sea,BMKG,3
2022-09-07 15:21:17.055764+00:00,1.080384254,123.2479553,3.368607653,16,"Minahassa Peninsula, Sulawesi",BMKG,3
2022-09-07 18:56:54.628546+00:00,1.709116623e-05,124.4736099,3.242431049,29,"Minahassa Peninsula, Sulawesi",BMKG,3
2022-09-07 20:06:45.013964+00:00,0.193071425,124.3990173,2.656002869,27,"Minahassa Peninsula, Sulawesi",BMKG,3
2022-09-08 03:56:14.273540+00:00,2.997582436,125.3132553,3.782448543,10,"Talaud Islands, Indonesia",BMKG,3
2022-09-09 15:30:33.915552+00:00,1.733105183,124.4667358,4.011628563,288,"Minahassa Peninsula, Sulawesi",BMKG,2
2022-09-10 05:07:51.953674+00:00,0.2767773867,124.7654724,2.940821057,28,"Minahassa Peninsula, Sulawesi",BMKG,3
2022-09-11 00:10:05.359292+00:00,0.5603170991,125.1184692,4.483226772,10,Northern Molucca Sea,BMKG,1
2022-09-13 13:21:40.447334+00:00,1.410864949,123.1089478,2.616111744,10,"Minahassa Peninsula, Sulawesi",BMKG,3
2022-09-14 14:22:51.639939+00:00,1.291953444,123.5158844,4.517997677,10,"Minahassa Peninsula, Sulawesi",BMKG,1
2022-09-15 13:41:10.614345+00:00,0.7714245319,125.4769745,3.310572034,24,Northern Molucca Sea,BMKG,3
2022-09-15 13:47:25.371287+00:00,0.1723119467,124.851532,4.446337894,31,"Minahassa Peninsula, Sulawesi",BMKG,1
2022-09-17 07:59:51.976825+00:00,0.5854037404,123.7060852,3.26485715,10,"Minahassa Peninsula, Sulawesi",BMKG,3
2022-09-19 20:13:36.281495+00:00,2.338806152,125.6418457,4.470062544,103,"Talaud Islands, Indonesia",BMKG,1
2022-09-20 18:26:26.394651+00:00,1.109044313,125.743309,3.266641383,24,Northern Molucca Sea,BMKG,3
